model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,5,2019,2012,2019,2024,2019,africa,119.42877960205078,242.0,-99.57122039794922,23.0
full,42,5,2019,2012,2019,2024,2019,sites,122.98408508300781,210.0,-95.01591491699219,-8.0
full,42,5,2019,2012,2019,2024,2019,language,74.56499481201172,369.0,-136.43500518798828,158.0
full,42,5,2019,2012,2019,2024,2019,brand,107.89409637451172,297.0,-100.10590362548828,89.0
full,42,5,2019,2012,2019,2024,2019,silk,120.49647521972656,429.0,-83.50352478027344,225.0
full,42,5,2019,2012,2019,2024,2019,plan,79.89586639404297,254.0,-122.10413360595703,52.0
full,42,5,2019,2012,2019,2024,2019,可持续发展,117.94296264648438,371.0,-80.05703735351562,173.0
full,42,5,2019,2012,2019,2024,2019,the middle east,87.86431121826172,129.0,-108.13568878173828,-67.0
full,42,5,2019,2012,2019,2024,2019,carrying,99.27513885498047,81.0,-95.72486114501953,-114.0
full,42,5,2019,2012,2019,2024,2019,效果,127.49785614013672,339.0,-67.50214385986328,144.0
